Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful,scaled_rec_pg,scaled_yds_pg,scaled_td_pg,scaled_av,scaled_pb,scaled_ap,Performance_Score
2021,Mike Strachan,StraMi03,Charleston (WV),229,,IND,0.0,23.0,Parsed,,,0.0,0.0,False,6.0,130.0,0.0,0.26,5.65,0.0,False,0.026000000000000002,0.0565,0.0,0.0,0.0,0.0,2.215
2021,Tre Nixon,NixoTr01,Central Florida,242,,NWE,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Ben Skowronek,SkowBe00,Notre Dame,249,,LAR,7.0,55.0,Parsed,,,0.0,0.0,False,63.0,644.0,1.0,1.15,11.71,0.02,False,0.11499999999999999,0.11710000000000001,0.02,0.058333333333333334,0.0,0.0,7.088
2021,Kawaan Baker,BakeKa00,South Alabama,255,,NOR,,,Parsed,,,0.0,0.0,False,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,Dax Milne,MilnDa00,BYU,258,,WAS,1.0,28.0,Parsed,,,0.0,0.0,False,15.0,120.0,1.0,0.54,4.29,0.04,False,0.054000000000000006,0.0429,0.04,0.008333333333333333,0.0,0.0,3.2920000000000007
2022,Drake London,LondDr00,USC,8,,ATL,26.0,50.0,Parsed,,,0.0,0.0,False,241.0,3042.0,15.0,4.82,60.84,0.3,True,0.48200000000000004,0.6084,0.3,0.21666666666666667,0.0,0.0,37.14200000000001
2022,Garrett Wilson,WilsGa00,Ohio St.,10,,NYJ,25.0,51.0,Parsed,,,0.0,0.0,False,279.0,3249.0,14.0,5.47,63.71,0.27,True,0.5469999999999999,0.6371,0.27,0.20833333333333334,0.0,0.0,38.577999999999996
2022,Chris Olave,OlavCh00,Ohio St.,11,,NOR,21.0,39.0,Parsed,,,0.0,0.0,False,191.0,2565.0,10.0,4.9,65.77,0.26,True,0.49000000000000005,0.6577,0.26,0.175,0.0,0.0,37.356
2022,Jameson Williams,WillJa11,Alabama,12,,DET,16.0,33.0,Parsed,,,0.0,0.0,False,83.0,1396.0,10.0,2.52,42.3,0.3,False,0.252,0.423,0.3,0.13333333333333333,0.0,0.0,25.729999999999997
2022,Jahan Dotson,DotsJa00,Penn St.,16,,WAS,11.0,46.0,Parsed,,,0.0,0.0,False,103.0,1257.0,11.0,2.24,27.33,0.24,False,0.22400000000000003,0.2733,0.24,0.09166666666666666,0.0,0.0,18.854
2022,Treylon Burks,BurkTr00,Arkansas,18,,TEN,6.0,27.0,Parsed,,,0.0,0.0,False,53.0,699.0,1.0,1.96,25.89,0.04,False,0.196,0.2589,0.04,0.05,0.0,0.0,13.237000000000002
2022,Christian Watson,WatsCh00,North Dakota St.,34,,GNB,17.0,38.0,Parsed,,,0.0,0.0,False,98.0,1653.0,14.0,2.58,43.5,0.37,False,0.258,0.435,0.37,0.14166666666666666,0.0,0.0,27.735
2022,Wan'Dale Robinson,RobiWa01,Kentucky,43,,NYG,11.0,38.0,Parsed,,,0.0,0.0,False,176.0,1451.0,5.0,4.63,38.18,0.13,False,0.46299999999999997,0.3818,0.13,0.09166666666666666,0.0,0.0,24.689
2022,John Metchie,MetcJo00,Alabama,44,,HOU,3.0,29.0,Parsed,,,0.0,0.0,False,40.0,412.0,1.0,1.38,14.21,0.03,False,0.13799999999999998,0.1421,0.03,0.025,0.0,0.0,7.998000000000001
2022,Tyquan Thornton,ThorTy00,Baylor,50,,NWE,3.0,28.0,Parsed,,,0.0,0.0,False,39.0,385.0,2.0,1.39,13.75,0.07,False,0.13899999999999998,0.1375,0.07,0.025,0.0,0.0,8.68
2022,George Pickens,PickGe00,Georgia,52,,PIT,25.0,48.0,Parsed,,,0.0,0.0,False,174.0,2841.0,12.0,3.62,59.19,0.25,False,0.362,0.5919,0.25,0.20833333333333334,0.0,0.0,33.12199999999999
2022,Alec Pierce,PierAl00,Cincinnati,53,,IND,16.0,49.0,Parsed,,,0.0,0.0,False,110.0,1931.0,11.0,2.24,39.41,0.22,False,0.22400000000000003,0.39409999999999995,0.22,0.13333333333333333,0.0,0.0,22.703
2022,Skyy Moore,MoorSk01,Western Michigan,54,,KAN,4.0,36.0,Parsed,,,0.0,0.0,False,43.0,494.0,1.0,1.19,13.72,0.03,False,0.119,0.13720000000000002,0.03,0.03333333333333333,0.0,0.0,7.596000000000001
