Year,Player,College,Pick,Round,Team,Games_Played,Career_AV,Receiving_Yards,Receiving_TDs,Seasons_Played
2020,Joe Reed,Virginia,151,,LAC,,,,,
2020,Tyler Johnson,Minnesota,161,,TAM,,,,,
2020,Collin Johnson,Texas,165,,JAX,,,,,
2020,Quintez Cephus,Wisconsin,166,,DET,,,,,
2020,John Hightower,Boise St.,168,,PHI,,,,,
2020,Isaiah Coulter,Rhode Island,171,,HOU,,,,,
2020,Darnell Mooney,Tulane,173,,CHI,,,,,
2020,K.J. Osborn,Miami (FL),176,,MIN,,,,,
2020,Donovan Peoples-Jones,Michigan,187,,CLE,,,,,
2020,Quez Watkins,Southern Miss,200,,PHI,,,,,
2020,James Proche,SMU,201,,BAL,,,,,
2020,Isaiah Hodgins,Oregon St.,207,,BUF,,,,,
2020,Dezmon Patmon,Washington St.,212,,IND,,,,,
2020,Freddie Swain,Florida,214,,SEA,,,,,
2020,Jauan Jennings,Tennessee,217,,SFO,,,,,
2020,K.J. Hill,Ohio St.,220,,LAC,,,,,
2020,Tyrie Cleveland,Florida,252,,DEN,,,,,
2021,Ja'Marr Chase,LSU,5,,CIN,,,,,
2021,Jaylen Waddle,Alabama,6,,MIA,,,,,
2021,DeVonta Smith,Alabama,10,,PHI,,,,,
2021,Kadarius Toney,Florida,20,,NYG,,,,,
2021,Rashod Bateman,Minnesota,27,,BAL,,,,,
2021,Elijah Moore,Mississippi,34,,NYJ,,,,,
2021,Rondale Moore,Purdue,49,,ARI,,,,,
2021,D'Wayne Eskridge,Western Michigan,56,,SEA,,,,,
2021,Tutu Atwell,Louisville,57,,LAR,,,,,
2021,Terrace Marshall Jr.,LSU,59,,CAR,,,,,
2021,Josh Palmer,Tennessee,77,,LAC,,,,,
2021,Dyami Brown,North Carolina,82,,WAS,,,,,
2021,Amari Rodgers,Clemson,85,,GNB,,,,,
2021,Nico Collins,Michigan,89,,HOU,,,,,
2021,Anthony Schwartz,Auburn,91,,CLE,,,,,
2021,Dez Fitzpatrick,Louisville,109,,TEN,,,,,
2021,Amon-Ra St. Brown,USC,112,,DET,,,,,
2021,Jaelon Darden,North Texas,129,,TAM,,,,,
2021,Tylan Wallace,Oklahoma St.,131,,BAL,,,,,
2021,Jacob Harris,Central Florida,141,,LAR,,,,,
2021,Ihmir Smith-Marsette,Iowa,157,,MIN,,,,,
2021,Simi Fehoko,Stanford,179,,DAL,,,,,
2021,Cornell Powell,Clemson,181,,KAN,,,,,
2021,Frank Darby,Arizona St.,187,,ATL,,,,,
2021,Marquez Stevenson,Houston,203,,BUF,,,,,
2021,Shi Smith,South Carolina,204,,CAR,,,,,
2021,Racey McMath,LSU,205,,TEN,,,,,
2021,Jalen Camp,Georgia Tech,209,,JAX,,,,,
2021,Seth Williams,Auburn,219,,DEN,,,,,
2021,Dazz Newsome,North Carolina,221,,CHI,,,,,
