Year,Player,Player_ID,College,Pick,Round,Team,Career_AV,Games_Played,Note,Career_Yards,Career_TDs,Pro_Bowls,All_Pros,OPOY,Receptions,Receiving_Yards,Receiving_TDs,Rec/Game,Yards/Game,TD/Game,Successful
2022,Velus Jones Jr.,JoneVe00,Tennessee,71,,CHI,,,Parsed,,,0.0,0.0,False,,,,,,,
2022,Jalen Tolbert,TolbJa00,South Alabama,88,,DAL,7.0,42.0,Parsed,,,0.0,0.0,False,73,890,9,1.74,21.19,0.21,False
2022,David Bell,BellDa02,Purdue,99,,CLE,3.0,32.0,Parsed,,,0.0,0.0,False,41,408,3,1.28,12.75,0.09,False
2022,Danny Gray,GrayDa02,SMU,105,,SFO,,,Parsed,,,0.0,0.0,False,,,,,,,
2022,Erik Ezukanma,EzukEr00,Texas Tech,125,,MIA,,,Parsed,,,0.0,0.0,False,,,,,,,
2022,Romeo Doubs,DoubRo00,Nevada,132,,GNB,17.0,43.0,Parsed,,,0.0,0.0,False,147,1700,15,3.42,39.53,0.35,False
2022,Calvin Austin III,AustCa00,Memphis,138,,PIT,8.0,34.0,Parsed,,,0.0,0.0,False,53,728,5,1.56,21.41,0.15,False
2022,Khalil Shakir,ShakKh00,Boise St.,148,,BUF,18.0,46.0,Success,,,,,,,,,,,,
2022,Montrell Washington,WashMo00,Samford,162,,DEN,,,Table not found,,,0.0,0.0,False,,,,,,,
2022,Kyle Philips,PhilKy01,UCLA,163,,TEN,3.0,13.0,Success,,,,,,,,,,,,
2022,Jalen Nailor,NailJa00,Michigan St.,191,,MIN,5.0,38.0,Success,,,,,,,,,,,,
2022,Michael Woods II,WoodMi00,Oklahoma,202,,CLE,0.0,15.0,Success,,,,,,,,,,,,
2022,Bo Melton,MeltBo00,Rutgers,229,,SEA,3.0,22.0,Success,,,,,,,,,,,,
2022,Dareke Young,YounDa02,Lenoir-Rhyne,233,,SEA,0.0,33.0,Success,,,,,,,,,,,,
2022,Samori Toure,TourSa00,Nebraska,258,,GNB,2.0,22.0,Success,,,,,,,,,,,,
