Year,Player,Player_ID,College,Pick,Round,Team
2018,Deon Cain,CainDe00,Clemson,185,,IND
2018,Ray-Ray McCloud,McClRa00,Clemson,187,,BUF
2018,Dylan Cantrell,CantDy00,Texas Tech,191,,LAC
2018,Russell Gage,GageRu00,LSU,194,,ATL
2018,Tremon Smith,SmitTr04,Central Arkansas,196,,KAN
2018,Equanimeous St. Brown,St.BEq00,Notre Dame,207,,GNB
2018,Cedrick Wilson Jr.,WilsCe01,Boise St.,208,,DAL
2018,Braxton Berrios,BerrBr00,Miami (FL),210,,NWE
2018,Javon Wims,WimsJa00,Georgia,224,,CHI
2018,Marcell Ateman,AtemMa00,Oklahoma St.,228,,OAK
2018,Richie James,JameRi00,Middle Tenn. St.,240,,SFO
2018,Auden Tate,TateAu00,Florida St.,253,,CIN
2018,Austin Proehl,ProeAu00,North Carolina,255,,BUF
2018,Trey Quinn,QuinTr00,SMU,256,,WAS
2019,Marquise Brown,BrowMa04,Oklahoma,25,,BAL
2019,N'Keal Harry,HarrNK00,Arizona St.,32,,NWE
2019,Deebo Samuel,SamuDe00,South Carolina,36,,SFO
2019,A.J. Brown,BrowAJ00,Mississippi,51,,TEN
2019,Mecole Hardman,HardMe00,Georgia,56,,KAN
2019,JJ Arcega-Whiteside,ArceJJ00,Stanford,57,,PHI
2019,Parris Campbell,CampPa00,Ohio St.,59,,IND
2019,Andy Isabella,IsabAn00,Massachusetts,62,,ARI
2019,D.K. Metcalf,MetcDK00,Mississippi,64,,SEA
2019,Diontae Johnson,JohnDi01,Toledo,66,,PIT
2019,Jalen Hurd,HurdJa00,Baylor,67,,SFO
2019,Terry McLaurin,McLaTe00,Ohio St.,76,,WAS
2019,Miles Boykin,BoykMi00,Notre Dame,93,,BAL
2019,Hakeem Butler,ButlHa00,Iowa St.,103,,ARI
2019,Gary Jennings Jr,JennGa00,West Virginia,120,,SEA
2019,Riley Ridley,RidlRi00,Georgia,126,,CHI
2019,Hunter Renfrow,RenfHu00,Clemson,149,,OAK
2019,Darius Slayton,SlayDa01,Auburn,171,,NYG
2019,KeeSean Johnson,JohnKe07,Fresno St.,174,,ARI
2019,Travis Fulgham,FulgTr00,Old Dominion,184,,DET
2019,Juwann Winfree,WinfJu00,Colorado,187,,DEN
2019,Marcus Green,GreeMa02,La-Monroe,203,,ATL
2019,Kelvin Harmon,HarmKe00,North Carolina St.,206,,WAS
2019,Scott Miller,MillSc01,Bowling Green,208,,TAM
2019,John Ursua,UrsuJo00,Hawaii,236,,SEA
2019,Terry Godwin,GodwTe00,Georgia,237,,CAR
2019,Dillon Mitchell,MitcDi00,Oregon,239,,MIN
2019,Olabisi Johnson,JohnOl00,Colorado St.,247,,MIN
2020,Henry Ruggs III,RuggHe00,Alabama,12,,LVR
2020,Jerry Jeudy,JeudJe00,Alabama,15,,DEN
2020,CeeDee Lamb,LambCe00,Oklahoma,17,,DAL
2020,Jalen Reagor,ReagJa00,TCU,21,,PHI
2020,Justin Jefferson,JeffJu00,LSU,22,,MIN
2020,Brandon Aiyuk,AiyuBr00,Arizona St.,25,,SFO
2020,Tee Higgins,HiggTe00,Clemson,33,,CIN
